id,company_name,website,categorie,employees,revenue,city,region,description
9bc2a0130bc713fc59cf5d7d77479334,Maïa Fondations,https://maia-fondations.groupe-maia.com,Construction,11-50,1M-5M,lyon,,"Specialiste des travaux de fondations et de soutenements, MAIA FONDATIONS fait egalement reference en matiere de travaux fluviaux et maritimes. Ancree a Lyon, MAIA FONDATIONS vous apporte des solutions sur tout le territoire. DOMAINES DINTERVENTION  FONDATIONS . Pieux battus . Micropieux . Reprise e"
aea0d1e1849bc50f86495aeff66e6259,ALTELA,https://altela.com,Construction,11-50,1M-5M,séméac,,"ALTELA, seul fabricant Francais de filets de protection pour le batiment, le sport, l'environnement et les filets de peche en grande nappes Ses process innovants et ses usines ultra modernes fabriquent integralement en France des filets aux normes de qualite elevees a des prix competitifs face a la "
b46a7e5abeacf2df2af2cf36fc0992e9,MECOWORKS,https://mecoworks.com,Construction,11-50,1M-5M,saint lys,,Votre partenaire-travaux pour la production des Energies Renouvelables
c7254f062c4c27d61b8834cfa7229c0c,GUERIN BREMAUD,https://guerin-bremaud.com,Construction,11-50,1M-5M,beaurepaire,,"Basee pres des Herbiers en Vendee, lentreprise a ete cree en 1992 par Mr GUERIN et Mr BREMAUD, lun charpentier, lautre menuisier, issus tous deux de la meme ecole avec des valeurs fortes qui sy rattachent, celle des compagnons du Devoir. En 2015, cette entreprise continue decrire sa jolie histoire a"
537fa185d55fdf4be4aadcbc81d7a01c,GROUPE SDG,https://groupe-sdg.com,Construction,51-200,10M-25M,,,Groupe SDG et ses filiales : SODOBAT - 1985 - Realisation de gros uvre Specialiste dans le tertiaire et la construction d'immeubles. ADSO - 1994 - Second uvre Le travail du second uvre dans le respect des regles d'hygiene et de securite. EASYMAT SERVICES - 2007 - Installation de chantier clefs en ma
e89393b5578c86085d46ffc19a1eebad,RULLIER BOIS,https://rullier.fr,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,chef-boutonne,,"Rullier Bois est une entreprise familiale et independante depuis 1883 en negoce de bois, panneaux, terrasses, isolation, parquets et menuiseries. Nous sommes des specialistes en bois et produits derives pour la construction, la renovation et lamenagement avec : - Une veritable connaissance du bois -"
a9490a70a7fcfc93782d97fa530a0fe9,WESER SAS FRANCE,https://weser.fr,Wood Product Manufacturing,51-200,10M-25M,mazières-de-touraine,centre-val de loire,"Specialiste de la Pierre Reconstituee et du Beton Decoratif, Weser offre un vaste choix de produits destines a lamenagement du jardin et a lexterieur de la maison. Fabriques avec un souci constant de qualite, les Balustrades, Piliers et Murets de cloture, Dalles et Paves, ou les Margelles de piscine"
63203661f95ddbc0a10164c7e608fd3f,SAMB,https://samb.fr,Wood Product Manufacturing,11-50,5M-10M,bobigny,,"Le negoce de bois SAMB est specialise dans la vente de bois, de panneaux ainsi que dans la fabrication de coffrages specifiques, de mannequins bois et aluminium, abouts de voile et raidisseurs d'huisserie aupres des professionnels du BTP. Situee a Bobigny (93000) en proche banlieue parisienne, SAMB "
effeaeda3f264eb2f313849a9b6ca5a4,METALLERIE NANTAISE,https://metallerie-nantaise.com,Construction,1-10,500K-1M,,,"Metallerie Nantaise | Specialiste de la metallerie sur mesure  Facades, Agencement, Securite Depuis 2017, Metallerie Nantaise accompagne les professionnels et les particuliers dans la conception, la fabrication et linstallation douvrages metalliques sur mesure. Basee a Bouaye, notre equipe met son e"
9c73aa235848167416941c255f465ee5,PermisMaison.fr,https://permismaison.fr,Construction,1-10,500K-1M,belleville en beaujolais,,"Qui Sommes-Nous   Depuis plusieurs annees et fort dune longue experience dans le domaine de la construction, Permis Maison soccupe de lensemble de vos demarches pour obtenir votre permis de construire et autres demarches de declaration prealable.  En tenant compte de votre budget, nous vous proposon"
